ZipCode,Latitude,Longitude,NumberofBuildings,LargestPropertyUseTypeGFA,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseTypeGFA,ENERGYSTARScore,SiteEnergyUse(kBtu),TotalGHGEmissions
98109.0,47.62237,-122.33805,1.0,72072.0,12810.0,7607.4,96.0,1049748.625,39.06
98109.0,47.62424,-122.33646,1.0,261826.0,150726.0,15139.0,96.0,13795954.0,138.85
98109.0,47.62642,-122.33325,1.0,235788.0,51537.0,10808.2,37.0,19459304.0,526.85
98109.0,47.62208,-122.35398,1.0,368000.0,74228.0,16847.2,75.6,23658978.0,607.41
98109.0,47.62208,-122.35398,1.0,65000.0,16899.8,8773.0,75.4,8141155.5,344.2
98109.0,47.62208,-122.35398,1.0,278500.0,132103.0,58391.579688000005,58.4,20955026.0,804.2
98109.0,47.62112,-122.33629,1.0,598801.0,310699.0,26203.0,91.0,39605888.0,617.52
98109.0,47.62395,-122.35077,1.0,52000.0,10868.0,13703.8,49.0,2726369.0,101.83
98109.0,47.62395,-122.35077,1.0,108000.0,6588.8,5469.6,68.0,875943.3125,6.11
98109.0,47.62395,-122.35143,1.0,296000.0,53582.2,59215.97968800001,58.4,20723248.0,490.73
98109.0,47.62391,-122.34837,0.0,45900.0,5181.0,4551.0,43.2,4166306.25,29.04
98109.0,47.62419,-122.34443,1.0,729584.0,185014.0,6000.0,93.0,36667044.0,674.09
98033.0,47.62053,-122.35842,1.0,48546.0,21454.0,2406.0,68.0,3476212.5,48.76
98109.0,47.62291,-122.35708,1.0,59976.0,36934.0,2689.4,56.0,5155568.5,152.14
98105.0,47.65772,-122.31756,2.0,50017.0,0.0,6297.6,53.0,5448975.0,191.2
98112.0,47.62548,-122.30828,1.0,67743.0,13728.2,6932.0,34.0,2646879.0,78.85
98112.0,47.62644,-122.30429,1.0,194104.0,9474.6,4942.4,100.0,6219841.5,243.23
98144.0,47.58408,-122.30125,1.0,63681.0,35752.0,6728.6,63.0,4897760.0,34.14
98108.0,47.56413,-122.31208,1.0,134446.0,25620.6,1875.0,61.0,6456026.0,238.48
98118.0,47.55478,-122.27596,1.0,59955.0,4397.4,1166.4,93.0,1633399.375,20.48
98119.0,47.63683,-122.35896,1.0,93218.0,10672.4,13435.2,86.0,2887392.0,84.75
98115.0,47.67524,-122.31534,1.0,49000.0,18650.8,4942.4,76.0,6357632.0,44.32
98115.0,47.67559,-122.31769,1.0,119146.0,0.0,10115.2,44.2,4253577.5,133.58
98133.0,47.73141,-122.3458,1.0,51390.0,0.0,12515.2,89.0,3611538.0,127.29
98133.0,47.72463,-122.35315,1.0,131909.0,17696.6,6304.2,88.0,3894584.5,124.92
98133.0,47.7257,-122.33684,1.0,245587.0,43152.4,8882.2,92.0,11765682.0,443.73
98133.0,47.72551,-122.3423,1.0,70609.0,26589.6,7852.6,78.0,3242458.0,89.02
98104.0,47.6048,-122.3368,1.0,190980.0,19051.0,5035.6,98.0,6505995.0,142.39
98111.0,47.60804,-122.3367,1.0,189750.0,23096.8,5782.2,78.4,14641502.0,429.12
98107.0,47.66737,-122.37956,4.0,302661.0,148865.0,71191.2,14.0,68090728.0,1990.5
98107.0,47.6706,-122.36225,1.0,59097.0,7827.0,3883.6,93.0,1513570.75,10.55
98104.0,47.60112,-122.32785,1.0,42755.0,29219.0,8529.8,48.8,9363374.0,176.75
98104.0,47.59809,-122.32283,1.0,58000.0,23334.2,6582.8,88.6,2010454.625,46.26
98109.0,47.62614,-122.3467,1.0,113702.0,32692.0,7983.2,76.0,7946961.0,228.4
98144.0,47.57589,-122.29365,1.0,289588.0,42986.0,11938.4,90.0,8819852.0,170.84
98122.0,47.61495,-122.32177,1.0,64820.0,28419.0,7211.4,49.6,3059758.0,74.33
98106.0,47.547,-122.35307,27.0,483000.0,243073.4,39354.6,28.2,38301744.0,866.23
98115.0,47.67828,-122.26456,1.0,92300.0,4944.0,8796.2,57.8,16319835.0,222.02
98134.0,47.59545,-122.32146,1.0,68359.0,41365.0,5669.4,54.4,7475577.5,204.08
98122.0,47.60598,-122.30156,1.0,254523.0,89543.2,16927.040039,60.0,13567774.0,359.09
98118.0,47.51482,-122.25864,1.0,78804.0,14852.4,4506.0,92.0,2499140.0,56.82
98122.0,47.61224,-122.29087,1.0,66994.0,9606.4,5612.6,79.0,2371304.5,41.74
98118.0,47.52915,-122.28904,1.0,98357.0,18961.8,7622.8,88.0,3456131.5,94.64
98118.0,47.53827,-122.28406,1.0,25765.0,25000.0,10115.2,42.8,4253369.5,61.21
98118.0,47.53722,-122.284,1.0,46483.0,37938.0,4579.0,68.4,1950092.5,100.46
98119.0,47.65147,-122.36122,1.0,52611.0,12399.8,6484.0,59.6,4116871.5,104.26
98119.0,47.65068,-122.36331,1.0,135520.0,33005.0,9916.0,89.0,4448582.5,129.39
98125.0,47.70763,-122.29453,1.0,238550.0,0.0,10629.8,96.0,8355988.5,222.78
98122.0,47.60462,-122.31549,3.0,137565.0,78357.0,10566.640039,70.6,13071700.0,422.39
98117.0,47.68725,-122.35996,1.0,62526.0,27814.6,4139.6,96.0,1986094.875,54.07
98101.0,47.61598,-122.33448,1.0,250000.0,209113.4,37753.8,46.4,65336980.0,2055.82
98108.0,47.536,-122.31768,1.0,30000.0,15000.0,9015.0,21.0,3242077.75,49.58
98125.0,47.70759,-122.3255,1.0,505103.0,24936.0,43139.4,98.0,27717034.0,723.47
98125.0,47.7066,-122.321,1.0,47012.0,22425.8,11738.8,54.0,7265178.0,231.53
98125.0,47.70619,-122.32586,1.0,122000.0,16258.8,12683.2,76.0,8765978.0,66.3
98105.0,47.66231,-122.28146,6.0,879000.0,238440.2,66041.8,10.0,253832464.0,8145.52
98133.0,47.70956,-122.3345,1.0,28636.0,15385.0,8644.0,72.0,3191228.25,83.7
98117.0,47.67661,-122.37489,1.0,242795.0,40796.2,14593.8,80.0,9157150.0,123.71
98122.0,47.61233,-122.3171,1.0,85521.0,23669.0,4834.6,92.4,1381590.125,51.11
98103.0,47.69936,-122.33401,11.0,667335.0,127889.0,35973.0,49.0,35891484.0,362.82
98118.0,47.54632,-122.28198,1.0,173185.0,17220.4,3675.8,79.0,6127771.5,242.36
98106.0,47.54862,-122.36214,1.0,139069.0,25151.0,5664.6,75.0,5499097.0,206.01
98108.0,47.55152,-122.31869,1.0,114297.0,23331.2,4253.8,61.0,2100097.75,69.44
98118.0,47.52407,-122.26586,1.0,184125.0,33161.4,11938.4,86.0,8800292.0,328.97
98134.0,47.55901,-122.33328,1.0,234144.0,28112.0,5882.8,87.0,6744317.0,297.43
98126.0,47.52254,-122.36627,1.0,65425.0,13259.2,7952.4,72.0,2944296.25,35.78
98126.0,47.52254,-122.36627,1.0,67782.0,32959.4,12681.6,37.0,9230223.0,369.14
98126.0,47.52915,-122.36511,1.0,367884.0,28274.2,8764.8,97.0,12265516.0,272.85
98126.0,47.51778,-122.37074,1.0,46797.0,14056.6,5226.6,86.0,2075891.0,73.47
98117.0,47.67767,-122.39631,1.0,56000.0,13616.4,7342.8,60.0,1851260.5,59.34
98118.0,47.54174,-122.27691,1.0,67371.0,18487.4,4357.0,92.0,2128459.0,46.36
98126.0,47.54508,-122.37737,1.0,52088.0,13893.2,4834.6,79.4,1377519.5,48.99
98103.0,47.65708,-122.33803,1.0,127776.0,17150.2,3957.2,75.0,4748137.0,80.08
98109.0,47.62972,-122.32906,1.0,123920.0,30000.0,0.0,79.0,9373179.0,309.6
98109.0,47.62759,-122.33661,1.0,43000.0,4501.0,5669.4,32.0,7548807.0,225.69
98109.0,47.62591,-122.34084,1.0,42345.0,5000.0,4730.0,70.0,430473.6875,3.0
98109.0,47.62782,-122.34045,1.0,141591.0,114878.6,5897.6,76.0,11171988.0,338.16
98117.0,47.68359,-122.37308,1.0,67235.0,6518.6,4388.6,89.0,2284133.75,49.12
98103.0,47.70044,-122.34136,1.0,57968.0,32881.0,11850.0,52.8,9472358.0,175.77
98136.0,47.54025,-122.3885,1.0,59014.0,21025.6,4689.0,97.0,1407277.25,21.29
98133.0,47.70916,-122.33216,1.0,64893.0,13189.6,3675.8,70.0,6197825.0,208.26
98108.0,47.53809,-122.29591,1.0,70762.0,15509.4,10689.2,87.0,3606416.0,168.88
