ZipCode,Latitude,Longitude,NumberofBuildings,LargestPropertyUseTypeGFA,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseTypeGFA,ENERGYSTARScore,SiteEUI(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SteamUse(kBtu),NaturalGas(kBtu),TotalGHGEmissions,GHGEmissionsIntensity
98101.0,47.60946,-122.33337,1.0,348630.0,38664.2,6809.2,67.0,46.40000153,16163194.0,16163194.0,0.0,3958787.0,295.33,0.89
98101.0,47.6113,-122.33659,1.0,103362.0,65676.0,493.0,78.0,56.29999924,9536161.0,9536161.0,0.0,0.0,66.48,0.4
98101.0,47.61076,-122.33765,1.0,51747.0,5681.0,5774.4,63.6,21.70000076,1247362.0,1239429.75,0.0,532423.0,33.26,0.58
98101.0,47.61048,-122.33794,1.0,34947.0,4993.0,4329.4,14.0,85.40000153,5071974.0,5242479.5,0.0,0.0,35.36,0.6
98101.0,47.60886,-122.33744,1.0,23500.0,23500.0,5459.0,45.2,286.3999939,15026196.0,15683742.0,0.0,10393737.0,584.31,11.12
98101.0,47.61233,-122.33432,1.0,83591.0,10043.0,5000.0,71.0,54.59999847,4841347.5,5078816.0,0.0,551288.0,59.19,0.6
98101.0,47.61087,-122.33339,1.0,994212.0,117668.0,0.0,63.0,80.90000153,80469216.0,82318072.0,11598686.0,23324992.0,2451.58,2.47
98101.0,47.60997,-122.34138,1.0,41340.0,13730.0,9604.0,98.0,93.09999847,5348309.0,5348309.0,0.0,2104408.0,134.38,1.89
98101.0,47.61155,-122.34114,1.0,88360.0,26450.0,8000.0,99.0,44.0,5401277.5,6088417.5,0.0,4107716.0,227.18,1.85
98109.0,47.61986,-122.34413,1.0,70627.0,42546.0,4937.0,86.0,74.80000305,5284343.5,5428403.5,0.0,2339663.0,144.79,1.28
98109.0,47.62001,-122.34274,1.0,107547.0,3000.0,8848.0,84.0,60.70000076,6715187.0,6835263.5,0.0,3319078.0,199.95,1.33
98109.0,47.62025,-122.34314,1.0,88490.0,28300.0,4037.0,80.0,65.90000153,5827595.5,5941927.0,0.0,2639138.0,162.39,1.4
98119.0,47.62023,-122.35951,1.0,155602.0,24500.2,9490.2,81.0,43.90000153,6836900.0,6849826.5,0.0,2277962.0,152.76,0.98
98136.0,47.63442,-122.30793,1.0,56072.0,6840.0,5859.2,76.0,57.70000076,3234787.75,3800842.5,0.0,2682920.0,146.34,2.61
98109.0,47.62519,-122.34456,1.0,78051.0,44891.0,4074.4,94.0,68.40000153,5337334.0,5387530.0,0.0,2913604.0,171.64,1.4
98122.0,47.60823,-122.30956,1.0,54984.0,10817.0,9385.2,71.0,61.40000153,3375211.0,3630147.25,0.0,1396981.0,87.98,1.6
98126.0,47.55837,-122.37751,1.0,296313.0,0.0,64964.8,54.0,144.3999939,42792072.0,45547252.0,0.0,30967300.0,1727.11,7.94
98133.0,47.72426,-122.35599,1.0,93397.0,37030.8,12447.2,1.0,175.6000061,16402563.0,16959754.0,0.0,10723064.0,609.1,6.52
98109.0,47.61988,-122.33211,1.0,63371.0,20732.0,12364.0,74.0,58.5,3706100.25,3787499.0,0.0,893412.0,67.06,0.8
98122.0,47.61244,-122.3214,0.0,179014.0,66139.8,15508.4,48.0,93.30000305,16701055.0,16527711.0,0.0,6814570.0,430.84,2.41
98104.0,47.60898,-122.32693,1.0,76631.0,8081.0,2835.4,71.0,94.69999695,7258758.5,7250730.5,0.0,4598016.0,262.75,3.43
98104.0,47.60845,-122.32637,1.0,40174.0,20868.0,17020.0,71.4,204.5,15473117.0,15684371.0,5327802.5,0.0,481.97,4.83
98109.0,47.62237,-122.33805,1.0,72072.0,7885.0,5428.0,96.0,14.60000038,1049748.625,1243027.75,0.0,687945.0,39.06,0.67
98109.0,47.62424,-122.33646,1.0,261826.0,150726.0,15139.0,96.0,48.0,13795954.0,13909270.0,0.0,924861.0,138.85,0.44
98109.0,47.62642,-122.33325,1.0,235788.0,51537.0,18110.2,37.0,82.5,19459304.0,20194606.0,0.0,8478651.0,526.85,1.86
98109.0,47.62208,-122.35398,1.0,368000.0,73371.0,29578.2,58.8,64.30000305,23658978.0,23736924.0,6093150.0,688680.0,607.41,1.56
98109.0,47.62208,-122.35398,1.0,65000.0,28640.6,4974.0,68.4,125.1999969,8141155.5,8181881.0,4120130.0,0.0,344.2,3.77
98109.0,47.62208,-122.35398,1.0,278500.0,77779.0,31084.6,62.4,75.19999695,20955026.0,21257836.0,9763690.0,0.0,804.2,2.03
98109.0,47.62112,-122.33629,1.0,598801.0,310699.0,26203.0,91.0,63.40000153,39605888.0,40153432.0,0.0,7399685.0,617.52,1.08
98109.0,47.62395,-122.35077,1.0,52000.0,11648.6,17215.2,69.8,52.40000153,2726369.0,2682242.75,1202380.0,0.0,101.83,1.96
98109.0,47.62395,-122.35077,1.0,108000.0,5395.6,4889.6,53.0,8.100000381,875943.3125,875943.3125,0.0,0.0,6.11,0.1
98109.0,47.62395,-122.35143,1.0,296000.0,135572.0,43456.579688000005,69.0,70.0,20723248.0,20823520.0,5137220.0,0.0,490.73,1.87
98109.0,47.62391,-122.34837,0.0,45900.0,5181.0,4551.0,68.0,74.90000153,4166306.25,4192107.75,0.0,0.0,29.04,0.44
98109.0,47.62419,-122.34443,1.0,729584.0,185014.0,6000.0,93.0,49.79999924,36667044.0,38105108.0,0.0,9069780.0,674.09,0.73
98033.0,47.62053,-122.35842,1.0,48546.0,21454.0,2406.0,68.0,68.19999695,3476212.5,3647345.75,0.0,531520.0,48.76,0.64
98109.0,47.62291,-122.35708,1.0,59976.0,36934.0,4937.0,56.0,86.0,5155568.5,5274523.0,0.0,2518558.0,152.14,1.57
98105.0,47.65772,-122.31756,2.0,50017.0,0.0,2637.4,53.0,108.9000015,5448975.0,5528580.5,0.0,3320669.0,191.2,3.82
98112.0,47.62548,-122.30828,1.0,67743.0,12791.0,8250.8,34.0,39.09999847,2646879.0,3036464.0,0.0,1309093.0,78.85,1.16
98112.0,47.62644,-122.30429,1.0,194104.0,7501.0,4268.0,100.0,32.0,6219841.5,7204080.0,0.0,4331949.0,243.23,1.25
98144.0,47.58408,-122.30125,1.0,63681.0,35752.0,2668.6,63.0,76.90000153,4897760.0,4980737.5,0.0,0.0,34.14,0.34
98108.0,47.56413,-122.31208,1.0,134446.0,8101.0,3511.0,61.0,48.0,6456026.0,7300977.5,0.0,4193207.0,238.48,1.82
98118.0,47.55478,-122.27596,1.0,59955.0,14037.8,5706.2,93.0,27.20000076,1633399.375,1749171.25,0.0,196983.0,20.48,0.34
98119.0,47.63683,-122.35896,1.0,93218.0,11530.4,7979.6,86.0,31.0,2887392.0,3216155.0,0.0,1400634.0,84.75,0.91
98115.0,47.67524,-122.31534,1.0,49000.0,16277.8,3640.0,65.4,129.6999969,6357632.0,6367210.0,0.0,0.0,44.32,0.78
98115.0,47.67559,-122.31769,1.0,119146.0,0.0,10198.4,47.4,35.70000076,4253577.5,4384625.5,0.0,2252474.0,133.58,0.65
98133.0,47.73141,-122.3458,1.0,51390.0,0.0,4554.0,89.0,70.30000305,3611538.0,3616214.0,0.0,2213249.0,127.29,2.48
98133.0,47.72463,-122.35315,1.0,131909.0,17318.8,10191.0,88.0,29.5,3894584.5,4290831.5,0.0,2119097.0,124.92,0.95
98133.0,47.7257,-122.33684,1.0,245587.0,14373.8,3470.8600098,92.0,47.90000153,11765682.0,12870916.0,0.0,7839670.0,443.73,1.81
98133.0,47.72551,-122.3423,1.0,70609.0,11035.8,7801.0,78.0,45.90000153,3242458.0,3323400.5,0.0,1439568.0,89.02,1.29
98104.0,47.6048,-122.3368,1.0,190980.0,19051.0,9622.2,98.0,34.09999847,6505995.0,6505995.0,0.0,2103084.0,142.39,0.75
98111.0,47.60804,-122.3367,1.0,189750.0,47393.0,10425.0,72.0,77.19999695,14641502.0,14881950.0,4311136.0,527343.0,429.12,1.51
98107.0,47.66737,-122.37956,4.0,302661.0,148865.0,50557.8,14.0,225.0,68090728.0,47602720.0,0.0,32853512.0,1990.5,6.98
98107.0,47.6706,-122.36225,1.0,59097.0,7006.2,4583.8,93.0,25.60000038,1513570.75,1598852.625,0.0,0.0,10.55,0.19
98104.0,47.60112,-122.32785,1.0,42755.0,29219.0,19967.8,54.6,130.1000061,9363374.0,9550716.0,0.0,2416104.0,176.75,2.89
98104.0,47.59809,-122.32283,1.0,58000.0,17597.4,5365.2,75.8,34.70000076,2010454.625,2095175.25,0.0,698785.0,46.26,0.64
98109.0,47.62614,-122.3467,1.0,113702.0,32692.0,4090.4,76.0,69.90000153,7946961.0,8016521.0,0.0,3749499.0,228.4,1.41
98144.0,47.57589,-122.29365,1.0,289588.0,26820.0,22473.0,90.0,30.5,8819852.0,9542598.0,0.0,2370086.0,170.84,0.59
98122.0,47.61495,-122.32177,1.0,64820.0,11949.8,12200.2,46.2,47.20000076,3059758.0,3284214.5,0.0,1148694.0,74.33,1.17
98106.0,47.547,-122.35307,27.0,483000.0,216337.6,36825.2,49.2,79.30000305,38301744.0,41151732.0,0.0,12987166.0,866.23,1.96
98115.0,47.67828,-122.26456,1.0,92300.0,4944.0,7435.2,72.0,167.8000031,16319835.0,16274449.0,0.0,2346137.0,222.02,2.31
98134.0,47.59545,-122.32146,1.0,68359.0,16354.8,8646.0,39.8,109.4000015,7475577.5,8086930.5,0.0,3293576.0,204.08,3.03
98122.0,47.60598,-122.30156,1.0,254523.0,69859.6,10615.2,60.0,53.29999924,13567774.0,14810159.0,0.0,5732708.0,359.09,1.41
